Date,Open,High,Low,Close,Volume
10/8/2004,17.9,18.02,17.87,17.89,1733700
10/11/2004,18.1,18.13,18.03,18.11,1034700
10/12/2004,17.87,17.95,17.79,17.9,744600
10/13/2004,17.67,17.77,17.4,17.44,1107300
10/14/2004,17.32,17.37,17.15,17.21,359400
10/15/2004,17.35,17.55,17.34,17.47,703500
10/18/2004,17.3,17.32,17.21,17.25,560400
10/19/2004,17.46,17.49,17.34,17.35,475200
10/20/2004,17.12,17.16,16.96,17.13,687000
10/21/2004,17.06,17.27,17.02,17.23,556500
10/22/2004,17.25,17.26,17.02,17.03,363300
10/25/2004,16.93,16.95,16.84,16.92,417900
10/26/2004,16.93,17.17,16.92,17.13,696600
10/27/2004,17.1,17.15,16.97,17.12,1058400
10/28/2004,17.27,17.27,16.73,16.87,1715400
10/29/2004,17.08,17.17,17.08,17.16,435900
11/1/2004,17.18,17.18,17.1,17.13,363600
11/2/2004,17.43,17.58,17.36,17.41,464100
11/3/2004,17.59,17.71,17.57,17.69,703200
11/4/2004,17.57,17.75,17.49,17.71,562200
11/5/2004,17.73,17.8,17.69,17.77,719100
11/8/2004,17.77,17.8,17.62,17.67,755700
11/9/2004,17.8,17.82,17.75,17.79,655200
11/10/2004,18.08,18.23,18.01,18.15,1566600
11/11/2004,18.08,18.19,18.04,18.16,1172100
11/12/2004,18.16,18.38,18.16,18.36,1610100
11/15/2004,18.5,18.6,18.47,18.56,2206200
11/16/2004,18.26,18.27,18.14,18.18,1273200
11/17/2004,18.35,18.53,18.33,18.44,1118100
11/18/2004,18.38,18.4,18.33,18.38,649500
11/19/2004,18.3,18.32,18.11,18.14,1370700
11/22/2004,18.18,18.29,18.17,18.29,687900
11/23/2004,18.47,18.55,18.44,18.52,1278000
11/24/2004,18.57,18.73,18.56,18.72,1508700
11/26/2004,18.7,18.7,18.58,18.63,832500
11/29/2004,18.74,18.74,18.59,18.62,1497600
11/30/2004,18.68,18.68,18.58,18.6,1043100
12/1/2004,18.66,18.84,18.66,18.82,1261800
12/2/2004,18.95,18.95,18.83,18.83,1429800
12/3/2004,18.82,18.82,18.72,18.8,1558800
12/6/2004,18.83,18.83,18.77,18.8,1088100
12/7/2004,18.69,18.74,18.46,18.55,1111500
12/8/2004,18.33,18.33,18.18,18.33,668700
12/9/2004,18.32,18.33,18.03,18.31,1083000
12/10/2004,18.07,18.07,17.93,18.01,640200
12/13/2004,18,18.04,17.92,18.01,597300
12/14/2004,18.19,18.19,18.03,18.13,697800
12/15/2004,18.44,18.44,18.3,18.44,947400
12/16/2004,18.37,18.37,18.25,18.31,696900
12/17/2004,18.33,18.34,18.22,18.27,502800
12/20/2004,18.63,18.64,18.55,18.59,3759000
12/21/2004,18.59,18.6,18.52,18.6,843000
12/22/2004,18.58,18.58,18.47,18.48,712200
12/23/2004,18.55,18.59,18.53,18.59,1150200
12/27/2004,18.58,18.6,18.48,18.49,647400
12/28/2004,18.5,18.57,18.45,18.55,550200
12/29/2004,18.55,18.56,18.5,18.52,439800
12/30/2004,18.37,18.37,18.3,18.33,704400
12/31/2004,18.47,18.49,18.42,18.49,532500
1/3/2005,18.49,18.52,18.37,18.38,997500
1/4/2005,18.27,18.28,17.86,17.88,1691700
1/5/2005,17.67,17.67,17.44,17.47,1034400
1/6/2005,17.48,17.5,17.37,17.49,712800
1/7/2005,17.48,17.48,17.27,17.33,678000
1/10/2005,17.47,17.52,17.4,17.47,1213500
1/11/2005,17.39,17.4,17.32,17.33,1011600
1/12/2005,17.52,17.55,17.41,17.55,757500
1/13/2005,17.63,17.63,17.44,17.45,662100
1/14/2005,17.38,17.42,17.31,17.4,345300
1/18/2005,17.72,17.77,17.59,17.76,911400
1/19/2005,17.87,17.87,17.7,17.7,608100
1/20/2005,17.69,17.71,17.59,17.64,544500
1/21/2005,17.58,17.6,17.48,17.48,914400
1/24/2005,17.47,17.47,17.35,17.38,486600
1/25/2005,17.66,17.7,17.6,17.6,453000
1/26/2005,17.9,17.9,17.78,17.84,632100
1/27/2005,17.9,17.9,17.81,17.84,455700
1/28/2005,17.92,17.92,17.73,17.77,456300
1/31/2005,18.05,18.22,17.96,18.06,510600
2/1/2005,17.97,17.97,17.83,17.9,705600
2/2/2005,17.97,17.97,17.86,17.91,513000
2/3/2005,17.84,17.85,17.8,17.85,418500
2/4/2005,18,18.13,18,18.12,808200
2/7/2005,18.38,18.46,18.35,18.42,690600
2/8/2005,18.53,18.58,18.52,18.55,585600
2/9/2005,18.61,18.61,18.39,18.41,399600
2/10/2005,18.5,18.57,18.44,18.56,752700
2/11/2005,18.56,18.8,18.53,18.7,615900
2/14/2005,18.72,18.76,18.71,18.74,712800
2/15/2005,18.65,18.69,18.62,18.64,437100
2/16/2005,18.59,18.61,18.54,18.61,349200
2/17/2005,18.61,18.61,18.43,18.43,685200
2/18/2005,18.62,18.68,18.59,18.67,359700
2/22/2005,18.77,18.81,18.65,18.66,798900
2/23/2005,18.73,18.73,18.63,18.7,387900
2/24/2005,18.74,18.85,18.73,18.83,329100
2/25/2005,19.14,19.28,19.03,19.23,924300
2/28/2005,19.4,19.4,19.23,19.27,901800
3/1/2005,19.33,19.33,19.15,19.18,903900
3/2/2005,18.97,18.99,18.77,18.82,721200
3/3/2005,18.96,18.97,18.9,18.94,495300
3/4/2005,18.94,18.94,18.7,18.81,700500
3/7/2005,18.83,18.93,18.8,18.89,636600
3/8/2005,19.03,19.04,18.98,19,666300
3/9/2005,19.05,19.07,18.92,18.92,998100
3/10/2005,18.92,18.92,18.75,18.81,783300
3/11/2005,18.93,18.94,18.84,18.89,494700
3/14/2005,18.92,18.94,18.86,18.89,431700
3/15/2005,18.83,18.83,18.55,18.57,603600
3/16/2005,18.67,18.71,18.57,18.57,1294500
3/17/2005,18.7,18.91,18.69,18.9,833400
3/18/2005,18.87,18.88,18.82,18.83,489000
3/21/2005,18.97,18.97,18.8,18.83,361200
3/22/2005,18.77,18.77,18.4,18.4,579900
3/23/2005,18.38,18.38,18.18,18.23,887400
3/24/2005,18.33,18.38,18.28,18.3,542400
3/28/2005,18.37,18.37,18.25,18.28,386100
3/29/2005,18.17,18.2,18,18,629100
3/30/2005,18.05,18.18,18.04,18.17,476100
3/31/2005,18.2,18.24,18.17,18.2,430500
4/1/2005,18.39,18.42,18.24,18.27,480000
4/4/2005,18.33,18.36,18.24,18.35,507900
4/5/2005,18.43,18.43,18.29,18.31,285300
4/6/2005,18.4,18.47,18.38,18.42,292500
4/7/2005,18.46,18.54,18.44,18.51,286800
4/8/2005,18.67,18.67,18.53,18.55,610500
4/11/2005,18.57,18.6,18.47,18.53,321600
4/12/2005,18.45,18.54,18.33,18.52,677700
4/13/2005,18.63,18.63,18.44,18.48,397200
4/14/2005,18.53,18.53,18.28,18.29,667800
4/15/2005,18.23,18.23,17.74,17.76,798900
4/18/2005,17.5,17.72,17.48,17.72,785400
4/19/2005,17.83,17.93,17.8,17.93,373200
4/20/2005,17.92,17.93,17.58,17.58,438000
4/21/2005,17.74,18.18,17.74,18.16,489900
4/22/2005,18.25,18.25,18,18.1,260100
4/25/2005,18.17,18.33,18.17,18.27,292800
4/26/2005,18.29,18.47,18.29,18.35,428400
